USD EUR GBP INR AUD CAD SGD CHF MYR JPY CNY
USD 1.000000 0.949332 0.813217 81.353689 1.471678 1.347586 1.352206 0.936063 4.385952 134.280738 7.023732
EUR 1.053372 1.000000 0.856620 85.695730 1.550225 1.419510 1.424376 0.986023 4.620041 141.447621 7.398605
GBP 1.229684 1.167379 1.000000 100.039368 1.809700 1.657105 1.662786 1.151062 5.393337 165.122937 8.636974
INR 0.012292 0.011669 0.009996 1.000000 0.018090 0.016565 0.016621 0.011506 0.053912 1.650580 0.086336
AUD 0.679496 0.645067 0.552578 55.279528 1.000000 0.915680 0.918819 0.636051 2.980238 91.243259 4.772599
CAD 0.742068 0.704469 0.603462 60.369947 1.091507 1.000000 1.003428 0.694622 3.254674 99.645401 5.216606
SGD 0.739532 0.702062 0.601400 60.163695 1.087778 0.996584 1.000000 0.692249 3.243554 99.304965 5.198784
CHF 1.068305 1.014176 0.868763 86.910517 1.571368 1.439632 1.444567 1.000000 4.685533 143.452724 7.509994
MYR 0.228001 0.216448 0.185414 18.548695 0.335366 0.307250 0.308304 0.213423 1.000000 30.616097 1.602805
JPY 0.007447 0.007070 0.006056 0.605848 0.010954 0.010036 0.010070 0.006971 0.032663 1.000000 0.052352
CNY 0.142251 0.135043 0.115681 11.572647 0.209237 0.191696 0.192353 0.133156 0.623906 19.101575 1.000000
